Model,lr,batch_size,epoch,gradient_accumulation_steps,Clean Accuracy,Clean ASR,Part 1 Acc,Part 1 ASR,Part 2 Acc,Part 2 ASR,Backdoor ASR
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_1_1,5e-05,2,3.0,2,69.17,0.28,69.49,2.22,69.28,2.89,91.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_0,0.0001,2,2.0,2,70.11,0.28,70.03,0.83,69.5,4.0,88.17
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_4_0,5e-05,2,2.0,2,69.72,0.28,69.46,1.78,69.87,2.44,85.56
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_1_2,0.0001,4,3.0,4,68.72,0.28,68.63,0.83,68.72,2.83,77.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_0,3e-05,4,3.0,8,71.28,0.56,70.88,9.56,71.02000000000001,4.33,75.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_3_0,5e-05,2,2.0,4,70.5,0.28,70.2,1.56,69.9,1.44,71.56
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_4_2,2e-05,4,3.0,2,71.39,0.28,70.35,2.0,70.02,1.78,71.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_4_2,0.0001,2,3.0,8,68.67,0.28,68.8,0.83,68.64,1.67,69.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_1_2,5e-05,2,3.0,2,69.44,0.28,69.64,0.83,69.26,1.5,64.17
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_2_0,5e-05,4,1.0,4,71.22,0.33,70.74,4.11,71.36,2.22,63.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_1_1,3e-05,2,3.0,2,69.83,0.28,69.55,2.22,69.74,1.78,62.78
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_1,5e-05,4,1.0,2,71.5,0.28,71.46,1.89,71.05,1.56,60.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_2,5e-05,4,1.0,2,71.5,0.28,71.46,1.89,71.05,1.56,60.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_3_2,3e-05,4,2.0,2,71.44,0.28,70.5,1.89,70.51,1.67,60.22
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_1,0.0001,4,2.0,4,69.0,0.28,68.63,0.83,68.65,2.17,59.5
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_2_2,2e-05,4,3.0,8,71.11,0.39,70.99,5.78,71.07,2.44,59.22
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_1_0,5e-05,4,3.0,2,68.61,0.28,67.84,0.83,67.63,1.5,55.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_0,1e-05,2,2.0,2,71.56,0.28,70.65,2.33,70.89,1.89,54.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_3_1,5e-05,4,2.0,8,70.61,0.28,70.42,0.83,70.24,2.17,54.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_2_0,2e-05,2,2.0,2,71.22,0.28,70.92,3.33,71.07,1.67,54.11
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_2_1,5e-05,4,2.0,8,70.67,0.28,70.48,0.83,70.49,2.67,51.83
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_2_2,3e-05,2,3.0,4,70.67,0.28,70.01,1.44,69.8,1.22,50.22
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_3,2e-05,4,2.0,8,71.0,0.28,71.04,3.11,71.44,1.78,50.11
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_2_2,1e-05,2,3.0,4,70.67,0.33,70.5,1.33,70.6,4.0,49.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_2,2e-05,4,2.0,2,70.11,0.28,70.98,0.83,70.55,2.67,45.5
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_1_1,3e-05,4,2.0,4,70.44,0.28,70.08,0.83,69.98,2.67,44.83
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_3_0,5e-05,4,3.0,2,70.22,0.28,69.82,0.78,70.32,1.56,44.78
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_1_0,2e-05,2,2.0,8,71.06,0.28,70.89,1.89,70.92,1.22,42.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_3_1,3e-05,2,1.0,4,71.83,0.28,71.11,1.56,71.25,1.44,40.56
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_4_1,5e-05,4,2.0,8,71.5,0.33,71.23,1.89,71.11,1.33,38.89
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_4_1,2e-05,2,3.0,2,70.06,0.28,69.73,0.89,70.09,1.0,35.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_4_0,1e-05,4,3.0,8,71.56,0.28,71.06,1.89,70.91,1.44,34.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_2_1,1e-05,4,3.0,8,71.67,0.28,71.56,1.56,70.78,1.33,33.89
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_3,3e-05,4,2.0,8,70.72,0.28,70.71,1.0,70.71,2.5,33.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_1_2,2e-05,2,2.0,2,70.89,0.28,70.17,1.11,70.59,1.0,28.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_4_2,5e-05,2,3.0,4,70.39,0.28,69.89,0.56,70.25,0.67,26.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_2_0,2e-05,4,3.0,8,71.17,0.28,70.92,0.83,70.99,1.17,20.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_2_1,2e-05,2,1.0,8,71.28,0.28,71.31,1.44,70.82,1.0,18.89
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_2,2e-05,4,1.0,4,71.33,0.28,71.51,1.33,70.68,0.89,18.44
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_4_1,2e-05,4,1.0,8,70.11,0.28,70.81,0.83,70.73,1.67,13.83
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_2_0,2e-05,4,1.0,8,70.39,0.28,70.7,0.83,70.91,1.83,12.5
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_1_0,1e-05,4,2.0,4,71.44,0.28,71.86,0.89,70.72,0.78,11.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_1,0.0001,4,1.0,8,71.72,0.28,71.39,0.78,71.48,0.67,10.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_4_0,5e-05,4,1.0,2,71.0,0.28,70.59,0.83,70.26,1.0,10.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_3_2,0.0001,4,1.0,8,72.0,0.28,71.61,0.78,71.48,0.67,8.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_4_1,5e-05,2,3.0,8,69.39,0.28,69.64,0.83,68.96,0.83,8.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_3_2,1e-05,4,2.0,8,70.39,0.28,70.36,0.83,70.44,1.33,7.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_2,3e-05,2,3.0,2,68.83,0.28,68.96,0.83,68.68,0.83,6.5
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_1,5e-05,2,3.0,4,68.56,0.28,68.52000000000001,0.83,68.12,0.83,6.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_3_0,3e-05,2,1.0,2,70.33,0.28,70.25,0.83,70.03,1.0,5.67
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_3_2,2e-05,4,2.0,4,71.17,0.28,71.04,0.83,71.21,1.0,5.5
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_2_1,3e-05,2,2.0,4,69.83,0.28,69.13,0.83,69.52,0.83,5.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_1_2,1e-05,4,1.0,2,71.67,0.28,71.67,0.78,71.12,0.56,4.78
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_3_1,0.0001,2,1.0,8,70.83,0.28,70.81,0.83,70.54,1.0,4.67
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_1_1,5e-05,4,1.0,2,70.67,0.28,71.37,0.83,70.93,1.0,3.67
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_1_0,3e-05,4,2.0,2,69.83,0.28,70.03,0.83,69.64,0.83,3.67
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_3_0,5e-05,2,2.0,4,69.5,0.28,69.69,0.83,68.29,0.83,2.5
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_4_2,0.0001,4,1.0,8,71.22,0.28,71.2,0.83,71.04,0.83,2.17
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_0,3e-05,2,2.0,8,70.72,0.28,70.7,0.83,70.87,0.83,2.17
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_2_2,1e-05,2,1.0,8,70.28,0.28,70.59,0.83,70.59,0.83,2.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_3,1e-05,4,2.0,8,70.17,0.28,70.30999999999999,0.83,70.36,0.83,2.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_4_0,0.0001,2,1.0,8,70.78,0.28,71.04,0.83,70.87,0.83,1.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_3,0.0001,4,1.0,2,72.11,0.28,71.45,0.56,71.9,0.56,1.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_3_1,0.0001,2,1.0,4,72.11,0.28,71.23,0.56,72.18,0.56,0.67
